Sim Distance from inner bank,Sim Evolution,,Exp Distance from inner bank,Exp Evolution
-0.001035464,0.80754352,,0.1,0.51696429
0.057077383,0.853965184,,0.15254237,0.3968523
0.084869629,0.811411992,,0.2,0.35357143
0.1108143,0.768858801,,0.3,0.12410714
0.129350803,0.735976789,,0.39830508,0.03215799
0.15715377,0.68762089,,0.49915254,-0.077671
0.186800738,0.641199226,,0.59915254,-0.1482067
0.214603705,0.592843327,,0.69915254,-0.2008853
0.244250673,0.546421663,,0.79915254,-0.3428496
0.275748791,0.498065764,,0.85084746,-0.612954
0.316513372,0.434235977,,0.89830508,-0.6830206
0.351720934,0.378143133,,,
0.366544418,0.354932302,,,
0.377672752,0.33172147,,,
0.390648661,0.308510638,,,
0.39992942,0.285299807,,,
0.416629069,0.246615087,,,
0.431473995,0.211798839,,,
0.446311774,0.180851064,,,
0.453737811,0.161508704,,,
0.468575589,0.130560928,,,
0.494552423,0.070599613,,,
0.520536404,0.006769826,,,
0.548350092,-0.047388781,,,
0.576170927,-0.105415861,,,
0.628092432,-0.207930368,,,
0.66332501,-0.277562863,,,
0.694851716,-0.34139265,,,
0.718955959,-0.387814313,,,
0.74862437,-0.445841393,,,
0.772753628,-0.505802708,,,
0.785747406,-0.53868472,,,
0.802450628,-0.579303675,,,
0.817299128,-0.616054159,,,
0.830296479,-0.650870406,,,
0.845148552,-0.689555126,,,
0.858138756,-0.720502901,,,
0.876700274,-0.766924565,,,
0.884133458,-0.790135397,,,
0.898985531,-0.828820116,,,
0.917547049,-0.875241779,,,
0.932391975,-0.910058027,,,
0.945410768,-0.956479691,,,
0.957491479,-0.99516441,,,