x,bathymetry
0,-7.64E-05
0.2,-0.000126384
0.4,-0.00017631
0.6,-0.000226275
0.8,-0.000276251
1,-0.000326113
1.2,-0.000376144
1.4,-0.000426028
1.6,-0.000475932
1.8,-0.000525874
2,-0.000575729
2.2,-0.000625461
2.4,-0.000675361
2.6,-0.000724934
2.8,-0.000774371
3,-0.000824542
3.2,-0.000872772
3.4,-0.000922737
3.6,-0.000971418
3.8,-0.001019312
4,-0.001070431
4.2,-0.00111554
4.4,-0.001165782
4.6,-0.001213484
4.8,-0.001259341
5,-0.001312415
5.2,-0.001354646
5.4,-0.001405969
5.6,-0.001454079
5.8,-0.001499425
6,-0.001555206
6.2,-0.001597515
6.4,-0.001651345
6.6,-0.001702731
6.8,-0.001752093
7,-0.001814233
7.2,-0.001872219
7.4,-0.001945376
7.6,-0.002038595
7.8,-0.002152709
8,-0.0022845
8.2,-0.002565979
8.4,-0.002866188
8.6,-0.003423345
8.8,-0.004236987
9,-0.005067972
9.2,-0.007374659
9.4,-0.009701019
9.6,-0.013716654
9.8,-0.019426238
10,-0.02516952
10.2,-0.034253196
10.4,-0.043358791
10.6,-0.05185811
10.8,-0.059738114
11,-0.067600915
11.2,-0.071494449
11.4,-0.075387056
11.6,-0.07778832
11.8,-0.078701378
12,-0.079622923
12.2,-0.078842353
12.4,-0.078073251
12.6,-0.076944906
12.8,-0.075456292
13,-0.073976074
13.2,-0.072178947
13.4,-0.070385691
13.6,-0.068564135
13.8,-0.066713232
14,-0.064863061
14.2,-0.06307585
14.4,-0.061287059
14.6,-0.059555646
14.8,-0.057882098
15,-0.056208429
15.2,-0.054699176
15.4,-0.053192111
15.6,-0.05196544
15.8,-0.051015942